Designator,Mid X,Mid Y,Layer,Rotation
C1,117.6000mm,-81.8000mm,Top,0.0
C2,116.6000mm,-93.8000mm,Top,90.0
C3,110.4000mm,-91.0000mm,Top,90.0
C4,101.2000mm,-83.9000mm,Top,0.0
C5,107.8000mm,-93.6000mm,Top,0.0
C6,108.3000mm,-81.6000mm,Top,0.0
C7,106.3000mm,-97.0000mm,Top,90.0
C8,120.8000mm,-92.6000mm,Top,0.0
C9,111.2000mm,-79.8000mm,Top,0.0
C10,120.4000mm,-95.0000mm,Top,90.0
D1,122.9000mm,-88.3000mm,Top,180.0
R1,117.0000mm,-73.4000mm,Top,0.0
R2,116.8000mm,-78.4800mm,Top,0.0
R3,114.5000mm,-92.0000mm,Top,90.0
R4,123.3000mm,-83.2000mm,Top,90.0
R5,93.4000mm,-56.6000mm,Top,90.0
R6,90.8600mm,-56.6000mm,Top,90.0
R7,112.3000mm,-88.8000mm,Top,90.0
R8,112.3000mm,-91.9000mm,Top,90.0
R9,113.7200mm,-56.6000mm,Top,90.0
R10,111.1800mm,-56.6000mm,Top,90.0
R11,120.6000mm,-98.0000mm,Top,90.0
R12,102.0000mm,-81.6000mm,Top,0.0
R13,107.0000mm,-90.4000mm,Top,0.0
R15,111.4000mm,-81.6000mm,Top,0.0
R16,118.6000mm,-95.6000mm,Top,90.0
R17,113.9000mm,-83.8000mm,Top,180.0
U1,101.2000mm,-86.9000mm,Top,90.0
U2,112.5000mm,-96.4000mm,Top,180.0
U3,107.0000mm,-85.9000mm,Top,270.0
U4,117.4000mm,-87.3000mm,Top,270.0
