Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Quantity,Customer Reference
BC1084CT-ND,K104K15X7RF5TL2,Vishay Beyschlag/Draloric/BC Components,1,MIE1001 C1
1276-1027-1-ND,CL10C100JB8NNNC,Samsung Electro-Mechanics,1,MIE1001 C2
732-8013-1-ND,885012206095,Wurth Elektronik,2,"MIE1001 C3,C7"
587-4334-1-ND,TMK212BBJ106KGHT,Taiyo Yuden,1,MIE1001 C4
1276-1102-1-ND,CL10A105KA8NNNC,Samsung Electro-Mechanics,2,"MIE1001 C5,C6"
1N4148FS-ND,1N4148,onsemi,2,"MIE1001 CR1,CR2"
BAV199LT1GOSCT-ND,BAV199LT1G,onsemi,1,MIE1001 CR3
277-1721-ND,1984617,Phoenix Contact,3,"MIE1001 J1,J2,J3"
S7002-ND,PPTC041LFBN-RC,Sullins Connector Solutions,1,MIE1001 J4
ACX1230-ND,132134,Amphenol RF,1,MIE1001 J5
1.0KQBK-ND,CFR-25JB-52-1K,YAGEO,1,MIE1001 R1
13-CFR-25JB-52-4K7-ND,CFR-25JB-52-4K7,YAGEO,1,MIE1001 R2
13-CFR-25JB-52-100K-ND,CFR-25JB-52-100K,YAGEO,1,MIE1001 R3
13-CFR-25JB-52-10K-ND,CFR-25JB-52-10K,YAGEO,1,MIE1001 R4
311-1.00KHRCT-ND,RC0603FR-071KL,YAGEO,3,"MIE1001 R5,R7,R11"
HVCB1206FKC100MCT-ND,HVCB1206FKC100M,Stackpole Electronics Inc,1,MIE1001 R6
311-100KHRCT-ND,RC0603FR-07100KL,YAGEO,2,"MIE1001 R8,R9"
311-100HRCT-ND,RC0603FR-07100RL,YAGEO,1,MIE1001 R10
1568-12918-ND,12918,SparkFun Electronics,1,MIE1001 U2
LMP7721MA/NOPB-ND,LMP7721MA/NOPB,Texas Instruments,1,MIE1001 U3
MCP6002-I/SN-ND,MCP6002-I/SN,Microchip Technology,1,MIE1001 U4
S7008-ND,PPTC101LFBN-RC,Sullins Connector Solutions,1,MIE1001 X1
S7004-ND,PPTC061LFBN-RC,Sullins Connector Solutions,1,MIE1001 X2
1528-1074-ND,85,Adafruit Industries LLC,1,MIE1001 UNO stacking hdr
