Designator,Mid X,Mid Y,Layer,Rotation
C2,114.4000mm,-58.3000mm,Top,180.0
C3,120.0000mm,-62.4000mm,Top,-90.0
C4,103.8000mm,-63.0000mm,Top,-90.0
C5,104.6000mm,-54.4000mm,Top,0.0
C6,106.4000mm,-63.1000mm,Top,-90.0
C7,107.8000mm,-56.8000mm,Top,-90.0
CR3,123.0000mm,-62.8000mm,Top,0.0
R5,118.6000mm,-58.1000mm,Top,180.0
R6,114.4000mm,-56.4000mm,Top,180.0
R7,109.2000mm,-59.6000mm,Top,0.0
R8,100.4000mm,-62.1000mm,Top,0.0
R9,100.4000mm,-63.9000mm,Top,180.0
R10,101.2000mm,-54.4000mm,Top,0.0
R11,109.2000mm,-63.7000mm,Top,180.0
U3,114.4000mm,-61.8000mm,Top,270.0
U4,103.0000mm,-58.2000mm,Top,270.0
